School,-1,finance,community,consulting,class quality,location,professor,entrepreneurship,course difficulty
Columbia,0.38095238095238093,0.3333333333333333,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0
Dartmouth,0.6111111111111112,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0
Harvard,0.5416666666666666,0.0,0.0,0.0,0.20833333333333334,0.0,0.08333333333333333,0.125,0.041666666666666664
MIT,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0,0.16666666666666666,0.1111111111111111
NYU,0.42857142857142855,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0
Northwestern,0.35,0.1,0.15,0.1,0.2,0.05,0.0,0.0,0.05
Stanford,0.4444444444444444,0.05555555555555555,0.0,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.0
UChicago,0.3,0.25,0.1,0.05,0.25,0.0,0.0,0.05,0.0
UPenn,0.45,0.25,0.1,0.05,0.1,0.0,0.05,0.0,0.0
Yale,0.4,0.12,0.16,0.08,0.12,0.0,0.04,0.04,0.04
